Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Romania,ROU,Net migration,SM.POP.NETM,1973,58651.0
Russian Federation,RUS,Net migration,SM.POP.NETM,1973,-107568.0
Rwanda,RWA,Net migration,SM.POP.NETM,1973,-3862.0
South Asia,SAS,Net migration,SM.POP.NETM,1973,-572007.0
Saudi Arabia,SAU,Net migration,SM.POP.NETM,1973,63995.0
Sudan,SDN,Net migration,SM.POP.NETM,1973,173143.0
Senegal,SEN,Net migration,SM.POP.NETM,1973,11382.0
Singapore,SGP,Net migration,SM.POP.NETM,1973,-495.0
Solomon Islands,SLB,Net migration,SM.POP.NETM,1973,-1329.0
Sierra Leone,SLE,Net migration,SM.POP.NETM,1973,-9322.0
El Salvador,SLV,Net migration,SM.POP.NETM,1973,-19347.0
San Marino,SMR,Net migration,SM.POP.NETM,1973,-124.0
Somalia,SOM,Net migration,SM.POP.NETM,1973,143.0
Serbia,SRB,Net migration,SM.POP.NETM,1973,-2396.0
Sub-Saharan Africa (excluding high income),SSA,Net migration,SM.POP.NETM,1973,156551.0
South Sudan,SSD,Net migration,SM.POP.NETM,1973,0.0
Sub-Saharan Africa,SSF,Net migration,SM.POP.NETM,1973,156878.0
Small states,SST,Net migration,SM.POP.NETM,1973,-41080.0
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,1973,-525.0
Suriname,SUR,Net migration,SM.POP.NETM,1973,-10765.0
Slovak Republic,SVK,Net migration,SM.POP.NETM,1973,-3854.0
Slovenia,SVN,Net migration,SM.POP.NETM,1973,2175.0
Sweden,SWE,Net migration,SM.POP.NETM,1973,-9551.0
Eswatini,SWZ,Net migration,SM.POP.NETM,1973,-3555.0
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,1973,382.0
Seychelles,SYC,Net migration,SM.POP.NETM,1973,327.0
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,1973,-17502.0
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,1973,61.0
Chad,TCD,Net migration,SM.POP.NETM,1973,-10737.0
East Asia & Pacific (IDA & IBRD countries),TEA,Net migration,SM.POP.NETM,1973,-557660.0
Europe & Central Asia (IDA & IBRD countries),TEC,Net migration,SM.POP.NETM,1973,-166414.0
Togo,TGO,Net migration,SM.POP.NETM,1973,-11555.0
Thailand,THA,Net migration,SM.POP.NETM,1973,80704.0
Tajikistan,TJK,Net migration,SM.POP.NETM,1973,5876.0
Turkmenistan,TKM,Net migration,SM.POP.NETM,1973,1194.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Net migration,SM.POP.NETM,1973,-509592.0
Timor-Leste,TLS,Net migration,SM.POP.NETM,1973,-278.0
Middle East & North Africa (IDA & IBRD countries),TMN,Net migration,SM.POP.NETM,1973,-63039.0
Tonga,TON,Net migration,SM.POP.NETM,1973,-1168.0
South Asia (IDA & IBRD),TSA,Net migration,SM.POP.NETM,1973,-572007.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Net migration,SM.POP.NETM,1973,156878.0
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,1973,-7524.0
Tunisia,TUN,Net migration,SM.POP.NETM,1973,-9606.0
Turkiye,TUR,Net migration,SM.POP.NETM,1973,-130985.0
Tuvalu,TUV,Net migration,SM.POP.NETM,1973,-121.0
Tanzania,TZA,Net migration,SM.POP.NETM,1973,48363.0
Uganda,UGA,Net migration,SM.POP.NETM,1973,-73439.0
Ukraine,UKR,Net migration,SM.POP.NETM,1973,18777.0
Upper middle income,UMC,Net migration,SM.POP.NETM,1973,-516677.0
Uruguay,URY,Net migration,SM.POP.NETM,1973,-14312.0
United States,USA,Net migration,SM.POP.NETM,1973,783163.0
Uzbekistan,UZB,Net migration,SM.POP.NETM,1973,30094.0
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,1973,-2068.0
Venezuela, RB,VEN,Net migration,1973,173.0
British Virgin Islands,VGB,Net migration,SM.POP.NETM,1973,-121.0
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,1973,1533.0
Viet Nam,VNM,Net migration,SM.POP.NETM,1973,-19937.0
Vanuatu,VUT,Net migration,SM.POP.NETM,1973,-22.0
World,WLD,Net migration,SM.POP.NETM,1973,0.0
Samoa,WSM,Net migration,SM.POP.NETM,1973,-2501.0
Kosovo,XKX,Net migration,SM.POP.NETM,1973,-1846.0
Yemen, Rep.,YEM,Net migration,1973,-21826.0
South Africa,ZAF,Net migration,SM.POP.NETM,1973,41125.0
Zambia,ZMB,Net migration,SM.POP.NETM,1973,-31472.0
Zimbabwe,ZWE,Net migration,SM.POP.NETM,1973,-18733.0
Aruba,ABW,Net migration,SM.POP.NETM,1974,-240.0
Africa Eastern and Southern,AFE,Net migration,SM.POP.NETM,1974,54059.0
Afghanistan,AFG,Net migration,SM.POP.NETM,1974,-20009.0
Africa Western and Central,AFW,Net migration,SM.POP.NETM,1974,-1121.0
Angola,AGO,Net migration,SM.POP.NETM,1974,53232.0
Albania,ALB,Net migration,SM.POP.NETM,1974,-1880.0
Andorra,AND,Net migration,SM.POP.NETM,1974,1222.0
Arab World,ARB,Net migration,SM.POP.NETM,1974,-4921.0
United Arab Emirates,ARE,Net migration,SM.POP.NETM,1974,42474.0
Argentina,ARG,Net migration,SM.POP.NETM,1974,33134.0
Armenia,ARM,Net migration,SM.POP.NETM,1974,17995.0
American Samoa,ASM,Net migration,SM.POP.NETM,1974,-393.0
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,1974,-1335.0
Australia,AUS,Net migration,SM.POP.NETM,1974,56167.0
Austria,AUT,Net migration,SM.POP.NETM,1974,-16276.0
Azerbaijan,AZE,Net migration,SM.POP.NETM,1974,-3847.0
Burundi,BDI,Net migration,SM.POP.NETM,1974,10065.0
Belgium,BEL,Net migration,SM.POP.NETM,1974,8924.0
Benin,BEN,Net migration,SM.POP.NETM,1974,-4814.0
Burkina Faso,BFA,Net migration,SM.POP.NETM,1974,-30599.0
Bangladesh,BGD,Net migration,SM.POP.NETM,1974,-277545.0
Bulgaria,BGR,Net migration,SM.POP.NETM,1974,-1402.0
Bahrain,BHR,Net migration,SM.POP.NETM,1974,6711.0
Bahamas, The,BHS,Net migration,1974,125.0
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,1974,-14345.0
Belarus,BLR,Net migration,SM.POP.NETM,1974,-5157.0
Belize,BLZ,Net migration,SM.POP.NETM,1974,-2399.0
Bermuda,BMU,Net migration,SM.POP.NETM,1974,-352.0
Bolivia,BOL,Net migration,SM.POP.NETM,1974,-5873.0
Brazil,BRA,Net migration,SM.POP.NETM,1974,-24093.0
Barbados,BRB,Net migration,SM.POP.NETM,1974,-3222.0
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,1974,1011.0
Bhutan,BTN,Net migration,SM.POP.NETM,1974,2700.0
Botswana,BWA,Net migration,SM.POP.NETM,1974,8854.0
Central African Republic,CAF,Net migration,SM.POP.NETM,1974,-9838.0
Canada,CAN,Net migration,SM.POP.NETM,1974,155596.0
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,1974,3913.0
Switzerland,CHE,Net migration,SM.POP.NETM,1974,2008.0
Channel Islands,CHI,Net migration,SM.POP.NETM,1974,931.0
Chile,CHL,Net migration,SM.POP.NETM,1974,-31211.0
China,CHN,Net migration,SM.POP.NETM,1974,-175239.0
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,1974,79445.0
Cameroon,CMR,Net migration,SM.POP.NETM,1974,-377.0
Congo, Dem. Rep.,COD,Net migration,1974,7414.0
Congo, Rep.,COG,Net migration,1974,-22.0
Colombia,COL,Net migration,SM.POP.NETM,1974,-80816.0
Comoros,COM,Net migration,SM.POP.NETM,1974,1840.0
Cabo Verde,CPV,Net migration,SM.POP.NETM,1974,-6512.0
Costa Rica,CRI,Net migration,SM.POP.NETM,1974,1839.0
Caribbean small states,CSS,Net migration,SM.POP.NETM,1974,-36584.0
Cuba,CUB,Net migration,SM.POP.NETM,1974,-52697.0
Curacao,CUW,Net migration,SM.POP.NETM,1974,-1870.0
Cayman Islands,CYM,Net migration,SM.POP.NETM,1974,493.0
Cyprus,CYP,Net migration,SM.POP.NETM,1974,-8220.0
Czechia,CZE,Net migration,SM.POP.NETM,1974,-2919.0
Germany,DEU,Net migration,SM.POP.NETM,1974,-15126.0
Djibouti,DJI,Net migration,SM.POP.NETM,1974,9910.0
Dominica,DMA,Net migration,SM.POP.NETM,1974,-770.0
Denmark,DNK,Net migration,SM.POP.NETM,1974,-437.0
Dominican Republic,DOM,Net migration,SM.POP.NETM,1974,-15402.0
Algeria,DZA,Net migration,SM.POP.NETM,1974,-27605.0
East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,1974,-576145.0
Early-demographic dividend,EAR,Net migration,SM.POP.NETM,1974,-732902.0
East Asia & Pacific,EAS,Net migration,SM.POP.NETM,1974,-422547.0
Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,1974,-80199.0
Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1974,41340.0
Ecuador,ECU,Net migration,SM.POP.NETM,1974,-1133.0
Egypt, Arab Rep.,EGY,Net migration,1974,-55702.0
Euro area,EMU,Net migration,SM.POP.NETM,1974,234293.0
Eritrea,ERI,Net migration,SM.POP.NETM,1974,1985.0
Spain,ESP,Net migration,SM.POP.NETM,1974,105838.0
Estonia,EST,Net migration,SM.POP.NETM,1974,6594.0
Ethiopia,ETH,Net migration,SM.POP.NETM,1974,-4232.0
European Union,EUU,Net migration,SM.POP.NETM,1974,227336.0
Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,1974,-69882.0
Finland,FIN,Net migration,SM.POP.NETM,1974,5891.0
Fiji,FJI,Net migration,SM.POP.NETM,1974,-5414.0
France,FRA,Net migration,SM.POP.NETM,1974,26203.0
Faroe Islands,FRO,Net migration,SM.POP.NETM,1974,-63.0
Micronesia, Fed. Sts.,FSM,Net migration,1974,-484.0
Gabon,GAB,Net migration,SM.POP.NETM,1974,680.0
United Kingdom,GBR,Net migration,SM.POP.NETM,1974,-65710.0
Georgia,GEO,Net migration,SM.POP.NETM,1974,-10261.0
Ghana,GHA,Net migration,SM.POP.NETM,1974,-1197.0
Gibraltar,GIB,Net migration,SM.POP.NETM,1974,-102.0
Guinea,GIN,Net migration,SM.POP.NETM,1974,-22637.0
Gambia, The,GMB,Net migration,1974,2907.0
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,1974,24290.0
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,1974,-12983.0
Greece,GRC,Net migration,SM.POP.NETM,1974,-22590.0
Grenada,GRD,Net migration,SM.POP.NETM,1974,-2654.0
Greenland,GRL,Net migration,SM.POP.NETM,1974,109.0
Guatemala,GTM,Net migration,SM.POP.NETM,1974,-36089.0
Guam,GUM,Net migration,SM.POP.NETM,1974,-222.0
Guyana,GUY,Net migration,SM.POP.NETM,1974,-11012.0
High income,HIC,Net migration,SM.POP.NETM,1974,1234159.0
Hong Kong SAR, China,HKG,Net migration,1974,46428.0
Honduras,HND,Net migration,SM.POP.NETM,1974,-10947.0
Heavily indebted poor countries (HIPC),HPC,Net migration,SM.POP.NETM,1974,-70963.0
Croatia,HRV,Net migration,SM.POP.NETM,1974,-8076.0
Haiti,HTI,Net migration,SM.POP.NETM,1974,-19792.0
Hungary,HUN,Net migration,SM.POP.NETM,1974,132.0
IBRD only,IBD,Net migration,SM.POP.NETM,1974,-688990.0
IDA & IBRD total,IBT,Net migration,SM.POP.NETM,1974,-1300328.0
IDA total,IDA,Net migration,SM.POP.NETM,1974,-611338.0
IDA blend,IDB,Net migration,SM.POP.NETM,1974,-97624.0
Indonesia,IDN,Net migration,SM.POP.NETM,1974,61188.0
IDA only,IDX,Net migration,SM.POP.NETM,1974,-513714.0
Isle of Man,IMN,Net migration,SM.POP.NETM,1974,1090.0
India,IND,Net migration,SM.POP.NETM,1974,347869.0
Not classified,INX,Net migration,SM.POP.NETM,1974,
Ireland,IRL,Net migration,SM.POP.NETM,1974,13482.0
Iran, Islamic Rep.,IRN,Net migration,1974,104779.0
Iraq,IRQ,Net migration,SM.POP.NETM,1974,-4090.0
Iceland,ISL,Net migration,SM.POP.NETM,1974,209.0
Israel,ISR,Net migration,SM.POP.NETM,1974,11929.0
Italy,ITA,Net migration,SM.POP.NETM,1974,42487.0
Jamaica,JAM,Net migration,SM.POP.NETM,1974,-16769.0
Jordan,JOR,Net migration,SM.POP.NETM,1974,-12024.0
Japan,JPN,Net migration,SM.POP.NETM,1974,-10145.0
Kazakhstan,KAZ,Net migration,SM.POP.NETM,1974,28807.0
Kenya,KEN,Net migration,SM.POP.NETM,1974,-62973.0
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,1974,-5818.0
Cambodia,KHM,Net migration,SM.POP.NETM,1974,-45225.0
Kiribati,KIR,Net migration,SM.POP.NETM,1974,-1605.0
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,1974,-810.0
Korea, Rep.,KOR,Net migration,1974,35779.0
Kuwait,KWT,Net migration,SM.POP.NETM,1974,25398.0
Latin America & Caribbean (excluding high income),LAC,Net migration,SM.POP.NETM,1974,-525456.0
Lao PDR,LAO,Net migration,SM.POP.NETM,1974,-6000.0
Lebanon,LBN,Net migration,SM.POP.NETM,1974,-3831.0
Liberia,LBR,Net migration,SM.POP.NETM,1974,2086.0
Libya,LBY,Net migration,SM.POP.NETM,1974,44946.0
St. Lucia,LCA,Net migration,SM.POP.NETM,1974,-1472.0
Latin America & Caribbean,LCN,Net migration,SM.POP.NETM,1974,-598708.0
Least developed countries: UN classification,LDC,Net migration,SM.POP.NETM,1974,-453575.0
Low income,LIC,Net migration,SM.POP.NETM,1974,-135309.0
Liechtenstein,LIE,Net migration,SM.POP.NETM,1974,179.0
Sri Lanka,LKA,Net migration,SM.POP.NETM,1974,-33979.0
Lower middle income,LMC,Net migration,SM.POP.NETM,1974,-569753.0
Low & middle income,LMY,Net migration,SM.POP.NETM,1974,-1216659.0
Lesotho,LSO,Net migration,SM.POP.NETM,1974,9972.0
Late-demographic dividend,LTE,Net migration,SM.POP.NETM,1974,-384462.0
Lithuania,LTU,Net migration,SM.POP.NETM,1974,7757.0
Luxembourg,LUX,Net migration,SM.POP.NETM,1974,2728.0
Latvia,LVA,Net migration,SM.POP.NETM,1974,14420.0
Macao SAR, China,MAC,Net migration,1974,-62374.0
St. Martin (French part),MAF,Net migration,SM.POP.NETM,1974,0.0
Morocco,MAR,Net migration,SM.POP.NETM,1974,-52927.0
Monaco,MCO,Net migration,SM.POP.NETM,1974,198.0
Moldova,MDA,Net migration,SM.POP.NETM,1974,1785.0
Madagascar,MDG,Net migration,SM.POP.NETM,1974,-4607.0
Maldives,MDV,Net migration,SM.POP.NETM,1974,-78.0
Middle East & North Africa,MEA,Net migration,SM.POP.NETM,1974,102616.0
Mexico,MEX,Net migration,SM.POP.NETM,1974,-207995.0
Marshall Islands,MHL,Net migration,SM.POP.NETM,1974,-145.0
Middle income,MIC,Net migration,SM.POP.NETM,1974,-1081350.0
North Macedonia,MKD,Net migration,SM.POP.NETM,1974,-1376.0
Mali,MLI,Net migration,SM.POP.NETM,1974,-22449.0
Malta,MLT,Net migration,SM.POP.NETM,1974,-1597.0
Myanmar,MMR,Net migration,SM.POP.NETM,1974,-53875.0
Middle East & North Africa (excluding high income),MNA,Net migration,SM.POP.NETM,1974,-67435.0
Montenegro,MNE,Net migration,SM.POP.NETM,1974,-1669.0
Mongolia,MNG,Net migration,SM.POP.NETM,1974,6153.0
Northern Mariana Islands,MNP,Net migration,SM.POP.NETM,1974,-77.0
Mozambique,MOZ,Net migration,SM.POP.NETM,1974,51238.0
Mauritania,MRT,Net migration,SM.POP.NETM,1974,-1321.0
Mauritius,MUS,Net migration,SM.POP.NETM,1974,-4908.0
Malawi,MWI,Net migration,SM.POP.NETM,1974,3833.0
Malaysia,MYS,Net migration,SM.POP.NETM,1974,-21919.0
North America,NAC,Net migration,SM.POP.NETM,1974,862222.0
Namibia,NAM,Net migration,SM.POP.NETM,1974,-744.0
New Caledonia,NCL,Net migration,SM.POP.NETM,1974,2739.0
Niger,NER,Net migration,SM.POP.NETM,1974,-3179.0
Nigeria,NGA,Net migration,SM.POP.NETM,1974,44281.0
Nicaragua,NIC,Net migration,SM.POP.NETM,1974,-8639.0
Netherlands,NLD,Net migration,SM.POP.NETM,1974,31645.0
Norway,NOR,Net migration,SM.POP.NETM,1974,4425.0
Nepal,NPL,Net migration,SM.POP.NETM,1974,-4361.0
Nauru,NRU,Net migration,SM.POP.NETM,1974,0.0
New Zealand,NZL,Net migration,SM.POP.NETM,1974,27580.0
OECD members,OED,Net migration,SM.POP.NETM,1974,684454.0
Oman,OMN,Net migration,SM.POP.NETM,1974,4880.0
Other small states,OSS,Net migration,SM.POP.NETM,1974,-327.0
Pakistan,PAK,Net migration,SM.POP.NETM,1974,-34785.0
Panama,PAN,Net migration,SM.POP.NETM,1974,-2531.0
Peru,PER,Net migration,SM.POP.NETM,1974,-33493.0
Philippines,PHL,Net migration,SM.POP.NETM,1974,-344674.0
Palau,PLW,Net migration,SM.POP.NETM,1974,-282.0
Papua New Guinea,PNG,Net migration,SM.POP.NETM,1974,-22771.0
Poland,POL,Net migration,SM.POP.NETM,1974,-18273.0
Pre-demographic dividend,PRE,Net migration,SM.POP.NETM,1974,10791.0
Puerto Rico,PRI,Net migration,SM.POP.NETM,1974,-1495.0
Korea, Dem. People's Rep.,PRK,Net migration,1974,0.0
Portugal,PRT,Net migration,SM.POP.NETM,1974,41254.0
Paraguay,PRY,Net migration,SM.POP.NETM,1974,-3478.0
West Bank and Gaza,PSE,Net migration,SM.POP.NETM,1974,-8670.0
Pacific island small states,PSS,Net migration,SM.POP.NETM,1974,-9704.0
Post-demographic dividend,PST,Net migration,SM.POP.NETM,1974,1129028.0
French Polynesia,PYF,Net migration,SM.POP.NETM,1974,546.0
Qatar,QAT,Net migration,SM.POP.NETM,1974,10603.0
Romania,ROU,Net migration,SM.POP.NETM,1974,6725.0
Russian Federation,RUS,Net migration,SM.POP.NETM,1974,-51759.0
Rwanda,RWA,Net migration,SM.POP.NETM,1974,-4535.0
South Asia,SAS,Net migration,SM.POP.NETM,1974,-20188.0
Saudi Arabia,SAU,Net migration,SM.POP.NETM,1974,69653.0
Sudan,SDN,Net migration,SM.POP.NETM,1974,6023.0
Senegal,SEN,Net migration,SM.POP.NETM,1974,3347.0
Singapore,SGP,Net migration,SM.POP.NETM,1974,2748.0
Solomon Islands,SLB,Net migration,SM.POP.NETM,1974,-1084.0
Sierra Leone,SLE,Net migration,SM.POP.NETM,1974,-11473.0
El Salvador,SLV,Net migration,SM.POP.NETM,1974,-22844.0
San Marino,SMR,Net migration,SM.POP.NETM,1974,-131.0
Somalia,SOM,Net migration,SM.POP.NETM,1974,-495.0
Serbia,SRB,Net migration,SM.POP.NETM,1974,-3525.0
Sub-Saharan Africa (excluding high income),SSA,Net migration,SM.POP.NETM,1974,52764.0
South Sudan,SSD,Net migration,SM.POP.NETM,1974,-192.0
Sub-Saharan Africa,SSF,Net migration,SM.POP.NETM,1974,52938.0
Small states,SST,Net migration,SM.POP.NETM,1974,-46615.0
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,1974,-474.0
Suriname,SUR,Net migration,SM.POP.NETM,1974,-11061.0
Slovak Republic,SVK,Net migration,SM.POP.NETM,1974,-4190.0
Slovenia,SVN,Net migration,SM.POP.NETM,1974,3145.0
Sweden,SWE,Net migration,SM.POP.NETM,1974,9217.0
Eswatini,SWZ,Net migration,SM.POP.NETM,1974,-3665.0
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,1974,395.0
Seychelles,SYC,Net migration,SM.POP.NETM,1974,174.0
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,1974,-24242.0
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,1974,65.0
Chad,TCD,Net migration,SM.POP.NETM,1974,-15686.0
East Asia & Pacific (IDA & IBRD countries),TEA,Net migration,SM.POP.NETM,1974,-576427.0
Europe & Central Asia (IDA & IBRD countries),TEC,Net migration,SM.POP.NETM,1974,-152984.0
Togo,TGO,Net migration,SM.POP.NETM,1974,-14483.0
Thailand,THA,Net migration,SM.POP.NETM,1974,72801.0
Tajikistan,TJK,Net migration,SM.POP.NETM,1974,6531.0
Turkmenistan,TKM,Net migration,SM.POP.NETM,1974,924.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Net migration,SM.POP.NETM,1974,-544902.0
Timor-Leste,TLS,Net migration,SM.POP.NETM,1974,-2222.0
Middle East & North Africa (IDA & IBRD countries),TMN,Net migration,SM.POP.NETM,1974,-58765.0
Tonga,TON,Net migration,SM.POP.NETM,1974,-344.0
South Asia (IDA & IBRD),TSA,Net migration,SM.POP.NETM,1974,-20188.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Net migration,SM.POP.NETM,1974,52938.0
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,1974,-7683.0
Tunisia,TUN,Net migration,SM.POP.NETM,1974,-9254.0
Turkiye,TUR,Net migration,SM.POP.NETM,1974,-153311.0
Tuvalu,TUV,Net migration,SM.POP.NETM,1974,197.0
Tanzania,TZA,Net migration,SM.POP.NETM,1974,51127.0
Uganda,UGA,Net migration,SM.POP.NETM,1974,-51910.0
Ukraine,UKR,Net migration,SM.POP.NETM,1974,31725.0
Upper middle income,UMC,Net migration,SM.POP.NETM,1974,-511597.0
Uruguay,URY,Net migration,SM.POP.NETM,1974,-14512.0
United States,USA,Net migration,SM.POP.NETM,1974,706978.0
Uzbekistan,UZB,Net migration,SM.POP.NETM,1974,33600.0
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,1974,-2013.0
Venezuela, RB,VEN,Net migration,1974,171.0
British Virgin Islands,VGB,Net migration,SM.POP.NETM,1974,-127.0
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,1974,1506.0
Viet Nam,VNM,Net migration,SM.POP.NETM,1974,-34940.0
Vanuatu,VUT,Net migration,SM.POP.NETM,1974,-17.0
World,WLD,Net migration,SM.POP.NETM,1974,0.0
Samoa,WSM,Net migration,SM.POP.NETM,1974,-526.0
Kosovo,XKX,Net migration,SM.POP.NETM,1974,-377.0
Yemen, Rep.,YEM,Net migration,1974,-22282.0
South Africa,ZAF,Net migration,SM.POP.NETM,1974,38518.0
Zambia,ZMB,Net migration,SM.POP.NETM,1974,-31178.0
Zimbabwe,ZWE,Net migration,SM.POP.NETM,1974,-16105.0
Aruba,ABW,Net migration,SM.POP.NETM,1975,-287.0
Africa Eastern and Southern,AFE,Net migration,SM.POP.NETM,1975,33607.0
Afghanistan,AFG,Net migration,SM.POP.NETM,1975,-44418.0
Africa Western and Central,AFW,Net migration,SM.POP.NETM,1975,-2052.0
Angola,AGO,Net migration,SM.POP.NETM,1975,52662.0
Albania,ALB,Net migration,SM.POP.NETM,1975,-2610.0
Andorra,AND,Net migration,SM.POP.NETM,1975,1264.0
Arab World,ARB,Net migration,SM.POP.NETM,1975,391471.0
United Arab Emirates,ARE,Net migration,SM.POP.NETM,1975,42380.0
Argentina,ARG,Net migration,SM.POP.NETM,1975,-5293.0
Armenia,ARM,Net migration,SM.POP.NETM,1975,17829.0
American Samoa,ASM,Net migration,SM.POP.NETM,1975,-272.0
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,1975,-1203.0
Australia,AUS,Net migration,SM.POP.NETM,1975,25336.0
Austria,AUT,Net migration,SM.POP.NETM,1975,-24253.0
Azerbaijan,AZE,Net migration,SM.POP.NETM,1975,-3847.0
Burundi,BDI,Net migration,SM.POP.NETM,1975,-20693.0
Belgium,BEL,Net migration,SM.POP.NETM,1975,9652.0
Benin,BEN,Net migration,SM.POP.NETM,1975,-4607.0
Burkina Faso,BFA,Net migration,SM.POP.NETM,1975,-30484.0
Bangladesh,BGD,Net migration,SM.POP.NETM,1975,-390212.0
Bulgaria,BGR,Net migration,SM.POP.NETM,1975,-38071.0
Bahrain,BHR,Net migration,SM.POP.NETM,1975,6900.0
Bahamas, The,BHS,Net migration,1975,164.0
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,1975,-14348.0
Belarus,BLR,Net migration,SM.POP.NETM,1975,-6302.0
Belize,BLZ,Net migration,SM.POP.NETM,1975,-1624.0
Bermuda,BMU,Net migration,SM.POP.NETM,1975,-335.0
Bolivia,BOL,Net migration,SM.POP.NETM,1975,-6424.0
Brazil,BRA,Net migration,SM.POP.NETM,1975,-25499.0
Barbados,BRB,Net migration,SM.POP.NETM,1975,-2939.0
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,1975,1047.0
Bhutan,BTN,Net migration,SM.POP.NETM,1975,2700.0
Botswana,BWA,Net migration,SM.POP.NETM,1975,11086.0
Central African Republic,CAF,Net migration,SM.POP.NETM,1975,-9895.0
Canada,CAN,Net migration,SM.POP.NETM,1975,139797.0
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,1975,-46208.0
Switzerland,CHE,Net migration,SM.POP.NETM,1975,-58187.0
Channel Islands,CHI,Net migration,SM.POP.NETM,1975,810.0
Chile,CHL,Net migration,SM.POP.NETM,1975,-30524.0
China,CHN,Net migration,SM.POP.NETM,1975,-115173.0
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,1975,79766.0
Cameroon,CMR,Net migration,SM.POP.NETM,1975,-237.0
Congo, Dem. Rep.,COD,Net migration,1975,3216.0
Congo, Rep.,COG,Net migration,1975,-312.0
Colombia,COL,Net migration,SM.POP.NETM,1975,-84462.0
Comoros,COM,Net migration,SM.POP.NETM,1975,1986.0
Cabo Verde,CPV,Net migration,SM.POP.NETM,1975,-5829.0
Costa Rica,CRI,Net migration,SM.POP.NETM,1975,1992.0
Caribbean small states,CSS,Net migration,SM.POP.NETM,1975,-35515.0
Cuba,CUB,Net migration,SM.POP.NETM,1975,-46268.0
Curacao,CUW,Net migration,SM.POP.NETM,1975,-1901.0
Cayman Islands,CYM,Net migration,SM.POP.NETM,1975,492.0
Cyprus,CYP,Net migration,SM.POP.NETM,1975,-4820.0
Czechia,CZE,Net migration,SM.POP.NETM,1975,-3057.0
Germany,DEU,Net migration,SM.POP.NETM,1975,-207740.0
Djibouti,DJI,Net migration,SM.POP.NETM,1975,13029.0
Dominica,DMA,Net migration,SM.POP.NETM,1975,-678.0
Denmark,DNK,Net migration,SM.POP.NETM,1975,-10672.0
Dominican Republic,DOM,Net migration,SM.POP.NETM,1975,-16425.0
Algeria,DZA,Net migration,SM.POP.NETM,1975,300482.0
East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,1975,-366755.0
Early-demographic dividend,EAR,Net migration,SM.POP.NETM,1975,-428134.0
East Asia & Pacific,EAS,Net migration,SM.POP.NETM,1975,-372704.0
Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,1975,-135967.0
Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1975,-171551.0
Ecuador,ECU,Net migration,SM.POP.NETM,1975,-1189.0
Egypt, Arab Rep.,EGY,Net migration,1975,-60174.0
Euro area,EMU,Net migration,SM.POP.NETM,1975,32456.0
Eritrea,ERI,Net migration,SM.POP.NETM,1975,1985.0
Spain,ESP,Net migration,SM.POP.NETM,1975,-218.0
Estonia,EST,Net migration,SM.POP.NETM,1975,6737.0
Ethiopia,ETH,Net migration,SM.POP.NETM,1975,-42540.0
European Union,EUU,Net migration,SM.POP.NETM,1975,-25336.0
Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,1975,-103105.0
Finland,FIN,Net migration,SM.POP.NETM,1975,-3807.0
Fiji,FJI,Net migration,SM.POP.NETM,1975,-5577.0
